id_salarié;Sexe;Tranche d'age;Congé maternité A-1;Salaire base 35h;Augmentation;Promotion
229;F;40-49;0;2073.2833;0;0
230;F;50+;0;2070.25;0;0
231;F;<30;1;2070.25;1;0
232;H;50+;0;2996.9333333333329;0;0
233;F;30-39;0;2052.05;0;0
234;F;30-39;0;2027.7833;0;0
235;H;40-49;0;2024.75;1;0
236;F;<30;1;2008.0667;1;0
237;H;30-39;0;1989.8667;0;0
238;H;40-49;0;1979.25;1;0
239;F;30-39;1;1920.1;1;0
240;H;40-49;0;1873.0833;0;0
241;F;30-39;1;1863.9833;1;0
242;H;40-49;0;2314.433375;0;0
243;H;30-39;0;1835.1667;0;0
244;H;50+;0;1833.65;0;1
245;H;30-39;0;1803.3167;1;0
246;F;40-49;0;1774.5;1;0
247;H;50+;0;1772.9833;1;1
248;H;50+;0;2493.4;1;1
249;F;40-49;0;1703.2167;1;0
250;H;50+;0;1697.15;1;0
251;H;<30;0;1669.85;1;0
252;H;40-49;0;1651.65;0;0
253;F;30-39;0;1598.5667;0;1
254;H;40-49;0;1590.9833;1;1
255;H;50+;0;1619.8000000000002;1;0
256;F;30-39;0;1545.4833333333333;0;1
