"Sexe";"Congé maternité A-1";"Augmentation";"Promotion";"Durée hebdo";"Tranche d'age";"Salaire_base_35h";"id_salarié_ps"
"H";0;1;0;35;"40-49";3582.37;174
"F";1;1;0;35;"<30";3547.48;175
"H";0;0;1;35;"40-49";3508.05;176
"H";0;0;0;35;"30-39";3486.82;177
"H";0;1;0;35;"40-49";3462.55;178
"F";0;0;0;35;"50+";3459.52;179
"H";0;1;0;35;"30-39";3436.77;180
"H";0;0;0;35;"40-49";3383.68;181
"H";0;1;0;35;"50+";3335.15;182
"F";0;1;0;35;"30-39";3260.83;183
"F";0;0;0;35;"50+";3256.28;184
"H";0;0;0;35;"40-49";3232.02;185
"F";0;1;0;35;"50+";3218.37;186
"F";0;;0;35;"<30";3201.68;187
"F";0;0;0;35;"40-49";3185;188
"F";0;0;0;35;"40-49";3168.32;189
"F";0;0;0;35;"50+";3165.28;190
"F";0;0;0;24;"50+";4545.45;191
"F";0;0;0;35;"50+";3097.03;192
"F";0;0;0;24;"50+";4463.55;193
"F";0;0;0;35;"50+";3033.33;194
"F";0;1;0;35;"50+";3012.1;195
"H";0;1;0;35;"30-39";2998.45;196
"F";0;1;1;35;"50+";2928.68;197
"H";0;1;0;35;"40-49";2918.07;198
"F";0;1;0;35;"30-39";2916.55;199
"F";0;0;1;35;"50+";2912;200
"F";0;0;0;35;"50+";2881.67;201
"H";0;1;0;35;"30-39";2848.3;202
"H";0;0;0;35;"40-49";2843.75;203
"H";0;1;0;35;"50+";2834.65;204
"H";0;0;0;35;"50+";2828.58;205
"H";0;1;0;28;"50+";3517.15;206
"H";0;1;0;35;"50+";2777.02;207
"H";0;0;0;35;"30-39";2769.43;208
"H";0;1;0;35;"50+";2767.92;209
"H";0;0;0;24;"50+";3988.83;210
"F";0;1;0;35;"40-49";2731.52;211
"H";0;1;0;35;"50+";2675.4;212
"H";0;1;0;35;"50+";2604.12;213
"H";0;0;0;35;"30-39";2561.65;214
"H";0;0;0;35;"30-39";2558.62;215
"H";0;0;0;35;"30-39";2511.6;216
"F";0;1;1;24;"40-49";3656.68;217
"F";0;0;0;32;"50+";2730;218
"F";0;0;0;35;"50+";2426.67;219
"H";0;0;0;35;"40-49";2396.33;220
"F";0;0;0;35;"30-39";2369.03;221
"H";0;0;0;32;"50+";2578.33;222
"F";0;0;0;35;"50+";2309.88;223
"F";0;0;0;35;"30-39";2226.47;224
"F";0;1;1;35;"40-49";2132.43;225
"F";0;0;0;35;"50+";2123.33;226
"F";0;1;1;35;"40-49";2079.35;227
"F";0;0;0;35;"40-49";2073.28;228
"F";0;0;0;35;"50+";2070.25;229
"F";1;1;0;35;"<30";2070.25;230
"H";0;0;0;24;"50+";2996.93;231
"F";0;;0;35;"30-39";2052.05;232
"F";0;0;0;35;"30-39";2027.78;233
"H";0;1;0;35;"40-49";2024.75;234
"F";1;1;0;35;"<30";2008.07;235
"H";0;0;0;35;"30-39";1989.87;236
"H";0;1;0;35;"40-49";1979.25;237
"F";1;1;0;35;"30-39";1920.1;238
"H";0;0;0;35;"40-49";1873.08;239
"F";1;1;0;35;"30-39";1863.98;240
"H";0;0;0;28;"40-49";2314.43;241
"H";0;0;0;35;"30-39";1835.17;242
"H";0;0;1;35;"50+";1833.65;243
"H";0;1;0;35;"30-39";1803.32;244
"F";0;1;0;35;"40-49";1774.5;245
"H";0;1;1;35;"50+";1772.98;246
"H";0;1;1;24;"50+";2493.4;247
"F";0;1;0;35;"40-49";1703.22;248
"H";0;1;0;35;"50+";1697.15;249
"H";0;1;0;35;"<30";1669.85;250
"H";0;0;0;35;"40-49";1651.65;251
"F";0;0;1;35;"30-39";1598.57;252
"H";0;1;1;35;"40-49";1590.98;253
"H";0;1;0;24;"50+";1619.8;254
"F";0;0;1;24;"30-39";1545.48;255
